Distr;D_stats;p_value;Parameters
dgamma;0.088405;0.570000;(1.6432977275270733, 0.8212143306608759, 0.015343738344924522)
genlogistic;0.093748;0.496000;(0.6357782503593096, 0.8378784930684732, 0.014535769641715383)
burr;0.094563;0.485000;(105.29525615007793, 0.5907869312946419, -0.6516460706365264, 1.4910470056909424)
gausshyper;0.095823;0.468000;(0.5683186257206105, 4.848315376410661, -8.706531746355783, 2.3510261649745114, 0.7361702125797878, 0.17588406700557288)
lognorm;0.101906;0.391000;(0.005432678951982973, -4.839805252001838, 5.664967618710822)
powernorm;0.102956;0.379000;(9.038383227751467, 0.9025708599664667, 0.051788014914611505)
powerlognorm;0.102974;0.378000;(11.473667204908683, 0.02039115765730879, -1.8266494908617021, 2.7403813462116133)
fisk;0.102983;0.378000;(107918389.73861456, -1880409.1073376648, 1880409.9340292339)
loggamma;0.103069;0.377000;(6.950467674082931, 0.6788381073923984, 0.07864314678018136)
levy_stable;0.103857;0.368000;(1.999982002287687, -0.5912762518489876, 0.8255179337570595, 0.02182645034439634)
johnsonsu;0.103903;0.368000;(11.555619852588364, 7.056505091513017, 1.027013849574549, 0.08061442212167338)
gennorm;0.103926;0.367000;(2.0016520119554038, 0.8255151037868995, 0.04368426529944089)
rice;0.103968;0.367000;(83.96742215112923, -1.7673304470160323, 0.03087712209418256)
t;0.103921;0.367000;(2453431.563757223, 0.8255178243981337, 0.03087603131603324)
norm;0.103931;0.367000;(0.8255193706366122, 0.030876152049386176)
exponnorm;0.103932;0.367000;(6.183769493294623e-05, 0.8255180678359473, 0.030875806953646598)
tukeylambda;0.104137;0.365000;(0.17001670183283132, 0.8251815524680652, 0.02217470617043646)
nakagami;0.104098;0.365000;(14123.906214427021, -6.519379800471494, 7.344948056804274)
gengamma;0.105017;0.355000;(112.40304012290424, 1.1994089711744866, 0.43149222011756505, 0.007684563413787989)
f;0.105071;0.354000;(807680.1256239454, 1092879.6121669186, -14.118559370999545, 14.944058830326814)
logistic;0.105244;0.352000;(0.826677793447187, 0.017628122251085773)
pearson3;0.105297;0.352000;(-0.4042254527254164, 0.8255188678851622, 0.03095127712000352)
fatiguelife;0.105423;0.350000;(0.006456531413685211, -3.965755143638521, 4.7912978986976)
weibull_min;0.106031;0.344000;(5.451717783353528, 0.6804487219513399, 0.15727053058316237)
chi;0.106284;0.341000;(173.62710791649533, 0.2476680093051593, 0.04392023155021926)
mielke;0.106421;0.339000;(3.0088555222167117, 12.511880374402422, 0.7195854040307956, 0.136078111827441)
alpha;0.106511;0.338000;(47.98510452845794, -0.6674307759684812, 71.59778932261639)
invgamma;0.106622;0.337000;(2973.1161002361514, -0.8649838508813747, 5024.63047183026)
hypsecant;0.107388;0.329000;(0.8272549084173303, 0.020987670967882028)
ncx2;0.107627;0.326000;(268.19232874554734, 28.17221654579062, 0.4598607144479989, 0.0012322805664642814)
erlang;0.108427;0.318000;(337.5130782586016, 0.24941693934013853, 0.0017065724564402796)
gamma;0.108843;0.314000;(341.8582408476608, 0.24581573255186917, 0.001695637317711491)
betaprime;0.108916;0.313000;(1065.5635786924167, 1653.1081806615111, 0.01852440597599425, 1.2505133118528944)
exponweib;0.110097;0.301000;(16.36106739671721, 7295.695795582526, -646.8873193107783, 647.6097911838392)
rayleigh;0.110264;0.299000;(0.7697452533945784, 0.0450782038212756)
laplace;0.111743;0.285000;(0.828, 0.024297012235055388)
johnsonsb;0.113853;0.265000;(-1.0551478983152867, 1.9624753344584975, 0.6555051137687237, 0.2723925211128855)
dweibull;0.115076;0.254000;(1.1348466051160893, 0.8288485240513268, 0.02533737665493207)
beta;0.114977;0.254000;(8.636330786719471, 4.660953717063129, 0.6663771843084834, 0.24502843724059054)
recipinvgauss;0.115486;0.250000;(0.005558904818214191, 0.3961013828658131, 0.0023744772455377323)
weibull_max;0.115538;0.250000;(2.606038239754782, 0.9006275530909165, 0.08451548237797646)
loglaplace;0.115961;0.246000;(37.42278488878539, -0.08623136827352584, 0.914231368143108)
invgauss;0.116315;0.243000;(0.012405292559352299, 0.5312949963009341, 23.66207550026232)
triang;0.117939;0.229000;(0.6576292154777701, 0.733497472603271, 0.16246695021319263)
gompertz;0.128392;0.154000;(0.032883490477834634, 0.7358253901941192, 0.03008911442913393)
nct;0.134992;0.118000;(34.44527220540292, 35.726824345566726, 0.5525135458210375, 0.007491309464917854)
gumbel_l;0.140851;0.092000;(0.8404900333666331, 0.02789716586737281)
maxwell;0.141921;0.088000;(0.7329259021929271, 0.05634234890855479)
cauchy;0.151265;0.058000;(0.8292132163524628, 0.018108603288988136)
